代號,簡稱,資產類別,官方產業,大類股,市場別
1101,台泥,普通股,水泥工業,傳統產業類,上市 (TWSE)
1102,亞泥,普通股,水泥工業,傳統產業類,上市 (TWSE)
1103,嘉泥,普通股,水泥工業,傳統產業類,上市 (TWSE)
1104,環泥,普通股,水泥工業,傳統產業類,上市 (TWSE)
1108,幸福,普通股,水泥工業,傳統產業類,上市 (TWSE)
1109,信大,普通股,水泥工業,傳統產業類,上市 (TWSE)
1110,東泥,普通股,水泥工業,傳統產業類,上市 (TWSE)
1201,味全,普通股,食品工業,傳統產業類,上市 (TWSE)
1203,味王,普通股,食品工業,傳統產業類,上市 (TWSE)
1210,大成,普通股,食品工業,傳統產業類,上市 (TWSE)
1213,大飲,普通股,食品工業,傳統產業類,上市 (TWSE)
1215,卜蜂,普通股,食品工業,傳統產業類,上市 (TWSE)
1216,統一,普通股,食品工業,傳統產業類,上市 (TWSE)
1217,愛之味,普通股,食品工業,傳統產業類,上市 (TWSE)
1218,泰山,普通股,食品工業,傳統產業類,上市 (TWSE)
1219,福壽,普通股,食品工業,傳統產業類,上市 (TWSE)
1220,台榮,普通股,食品工業,傳統產業類,上市 (TWSE)
1225,福懋油,普通股,食品工業,傳統產業類,上市 (TWSE)
1227,佳格,普通股,食品工業,傳統產業類,上市 (TWSE)
1229,聯華,普通股,食品工業,傳統產業類,上市 (TWSE)
1231,聯華食,普通股,食品工業,傳統產業類,上市 (TWSE)
1232,大統益,普通股,食品工業,傳統產業類,上市 (TWSE)
1233,天仁,普通股,食品工業,傳統產業類,上市 (TWSE)
1234,黑松,普通股,食品工業,傳統產業類,上市 (TWSE)
1235,興泰,普通股,食品工業,傳統產業類,上市 (TWSE)
1236,宏亞,普通股,食品工業,傳統產業類,上市 (TWSE)
1240,茂生農經,普通股,其他業,傳統產業類,上櫃 (TPEx)
1256,鮮活果汁-KY,普通股,食品工業,傳統產業類,上市 (TWSE)
1259,安心,普通股,油電燃氣業,傳統產業類,上櫃 (TPEx)
1260,富味鄉,普通股,食品工業,傳統產業類,興櫃 (ESM)
1264,德麥,普通股,食品工業,傳統產業類,上櫃 (TPEx)
1268,漢來美食,普通股,油電燃氣業,傳統產業類,上櫃 (TPEx)
1269,乾杯,普通股,油電燃氣業,傳統產業類,興櫃 (ESM)
1271,晨暉生技,普通股,光電業,電子科技類,興櫃 (ESM)
1293,利統,普通股,食品工業,傳統產業類,興櫃 (ESM)
1294,漢田生技,普通股,食品工業,傳統產業類,上櫃 (TPEx)
1295,生合,普通股,食品工業,傳統產業類,上櫃 (TPEx)
1301,台塑,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1303,南亞,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1304,台聚,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1305,華夏,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1307,三芳,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1308,亞聚,普通股,塑膠工業,傳統產業類,上市 (TWSE)
1309,台達化,普通股,塑膠工業,傳統產業類,上市 (TWSE)
